,调和平均温度,扭矩转速积,机器质量等级,运行时间
128,301.90344370860925,46182.0,1,72
129,301.75159847606426,57596.0,2,75
130,301.75159847606426,39670.700000000004,1,80
131,301.75159847606426,55762.5,0,83
132,301.8516310647458,61986.100000000006,0,85
133,301.8998344370861,60317.399999999994,0,87
134,301.8998344370861,79194.0,0,89
135,302.04805560152244,51274.0,2,91
136,301.9998675935121,58651.8,0,96
137,301.948021850687,59328.5,0,98
138,302.04805560152244,86347.8,2,100
139,302.1480893300248,86802.0,1,105
140,302.1480893300248,70675.0,1,108
141,302.2481230362163,52544.8,0,111
142,302.1480893300248,54172.799999999996,1,113
143,302.2481230362163,46443.6,1,116
144,302.19626199139924,50024.0,0,119
145,302.2481230362163,65704.5,0,121
146,302.2481230362163,49732.6,0,123
147,302.2481230362163,78039.4,0,125
148,302.2481230362163,67922.2,1,127
149,302.2517612039028,72298.2,1,130
150,302.2999669312169,60172.00000000001,0,133
151,302.2517612039028,59321.700000000004,0,135
152,302.2517612039028,49094.1,0,137
153,302.2999669312169,59696.0,0,139
154,302.3517936849066,52247.7,1,141
155,302.2999669312169,62047.99999999999,1,144
156,302.3517936849066,51666.0,0,147
157,302.2999669312169,62469.7,0,149
158,302.3517936849066,57976.8,0,151
159,302.3517936849066,89553.59999999999,0,153
160,302.30357142857144,51714.899999999994,0,155
161,302.3517936849066,64523.8,0,157
162,302.45182614443894,43264.0,1,159
163,302.45182614443894,78184.0,0,162
164,302.5518585825211,55671.0,0,164
165,302.40360330578517,72800.0,0,166
166,302.3517936849066,64395.00000000001,0,168
167,302.40360330578517,57718.1,0,170
168,302.3517936849066,66028.8,2,172
169,302.2999669312169,48617.399999999994,0,177
170,302.3517936849066,50395.8,2,179
171,302.30357142857144,57142.8,2,184
172,302.30357142857144,58887.600000000006,0,189
173,302.3517936849066,68497.2,0,191
174,302.30357142857144,57280.4,0,193
175,302.2553332230858,43649.200000000004,2,195
176,302.30357142857144,80539.2,0,200
177,302.2517612039028,79940.0,0,202
178,302.2999669312169,64385.700000000004,0,204
179,302.50003304692666,53146.200000000004,0,206
180,302.50003304692666,51450.200000000004,0,208
181,302.50003304692666,56776.200000000004,1,210
182,302.44819038175507,71505.0,0,213
183,302.50003304692666,58291.2,0,215
184,302.44819038175507,59213.50000000001,0,217
185,302.50003304692666,44298.9,1,219
186,302.44819038175507,62803.799999999996,2,222
187,302.50003304692666,52923.6,0,227
188,302.45182614443894,60489.2,2,229
189,302.50003304692666,60028.799999999996,1,0
190,302.64825763831544,59648.399999999994,1,3
191,302.64825763831544,60018.0,1,6
192,302.64825763831544,63197.6,1,9
193,302.79646748101686,84439.2,0,12
194,302.7482912332838,62539.4,0,14
195,302.7482912332838,54503.6,2,16
196,302.64825763831544,71845.90000000001,0,21
197,302.7000990752972,67821.0,0,23
198,302.7482912332838,61276.5,0,25
199,302.79646748101686,71107.5,0,27
200,302.7482912332838,69331.5,0,29
201,302.7482912332838,67732.59999999999,0,31
202,302.896501650165,57836.0,1,33
203,302.7482912332838,69761.90000000001,0,36
204,302.64825763831544,49335.0,1,38
205,302.6964332892999,61466.0,0,41
206,302.64825763831544,49728.0,1,43
207,302.64825763831544,62534.700000000004,1,46
208,302.54822402114655,68427.59999999999,0,49
209,302.44819038175507,64951.700000000004,1,51
210,302.40000000000003,67443.2,1,54
211,302.3517936849066,51807.100000000006,1,57
212,302.2999669312169,68591.6,1,60
213,302.2999669312169,56830.5,2,63
214,302.2999669312169,40371.6,1,68
215,302.348156720119,79937.0,1,71
216,302.348156720119,67978.0,0,74
217,302.44819038175507,69647.0,1,76
218,302.44819038175507,67116.0,2,79
219,302.348156720119,52474.5,0,84
220,302.2962962962963,74719.5,0,86
221,302.348156720119,70513.0,2,88
222,302.44819038175507,54897.7,1,93
223,302.44819038175507,65664.90000000001,0,96
224,302.44819038175507,33782.0,2,98
225,302.44819038175507,59943.0,0,103
226,302.348156720119,66410.4,2,105
227,302.2999669312169,76783.5,0,110
228,302.1999338405558,60333.899999999994,1,112
229,302.1999338405558,55902.0,1,115
230,302.2481230362163,48535.6,0,118
231,302.348156720119,62074.0,0,120
232,302.44819038175507,63292.5,0,122
233,302.49636483807006,52251.4,1,124
234,302.3963305785124,56722.6,1,127
235,302.49636483807006,46363.799999999996,0,130
236,302.54452337683796,64913.6,1,132
237,302.54452337683796,82541.0,0,135
238,302.54452337683796,71765.2,0,137
239,302.5963990749918,45309.1,0,139
240,302.5963990749918,61918.0,2,141
241,302.6445582163501,63240.0,0,146
242,302.6445582163501,59866.200000000004,0,148
243,302.6445582163501,60470.600000000006,1,150
244,302.6445582163501,69764.0,0,153
245,302.6445582163501,44180.0,1,155
246,302.7445930328546,65282.8,1,158
247,302.792736876857,55650.0,0,161
248,302.7445930328546,75838.40000000001,1,163
249,302.7445930328546,34160.0,2,166
250,302.6445582163501,51935.6,2,171
251,302.6445582163501,63329.4,2,176
252,302.6445582163501,56024.6,1,181
253,302.6445582163501,52649.0,1,184
254,302.7445930328546,58242.6,2,187
255,302.792736876857,51206.8,0,192
256,302.6927014531044,52520.399999999994,1,194
257,302.6445582163501,65179.2,0,197
258,302.6445582163501,76468.8,1,199
259,302.6445582163501,49018.399999999994,0,202
260,302.6445582163501,53039.2,1,204
261,302.7445930328546,55044.899999999994,2,207
262,302.7445930328546,64907.7,0,212
263,302.792736876857,59857.8,0,214
264,302.89277227722766,53985.6,0,216
265,302.89277227722766,55918.9,0,218
266,302.9928076542395,66183.3,1,220
267,303.0446973445489,63619.5,0,223
268,303.0446973445489,75005.7,0,0
269,303.0446973445489,70642.0,2,2
270,303.0928430079156,71943.3,2,7
271,303.0928430079156,57869.50000000001,1,12
272,303.0928430079156,63038.0,0,15
273,303.0928430079156,71920.8,0,17
274,303.0928430079156,62080.0,1,19
275,303.19287833827894,51646.399999999994,0,22
276,303.19287833827894,47502.0,2,24
277,303.3929489291598,54384.0,2,29
278,303.3929489291598,79660.0,0,34
279,303.4410805468621,35215.1,1,36
280,303.54111641692737,55620.600000000006,0,39
281,303.6892692560895,56828.399999999994,0,41
282,303.74118808622677,59946.3,1,43
283,303.6411522633745,68516.8,0,46
284,303.6930546412113,61320.6,0,48
285,303.59301942706617,84088.40000000001,1,50
286,303.59301942706617,60345.0,2,53
287,303.59301942706617,59512.200000000004,2,58
288,303.6449053497942,67335.40000000001,0,63
289,303.6930546412113,61506.00000000001,2,65
290,303.6449053497942,64831.200000000004,1,70
291,303.6967741935484,58239.2,1,73
292,303.6967741935484,65472.0,1,76
293,303.6967741935484,73954.2,0,79
294,303.8449745023853,61393.1,1,81
295,303.79680816057913,56429.1,2,84
296,303.79680816057913,77486.09999999999,2,89
297,303.7486259667599,55810.600000000006,0,94
298,303.7486259667599,61562.4,0,96
299,303.84865931896695,32940.9,0,98
300,303.94869264923534,62216.4,1,100
301,303.94869264923534,63754.6,0,103
302,303.94869264923534,58888.5,0,105
303,303.94869264923534,69456.2,1,107
304,304.0487259575867,52647.00000000001,1,110
305,304.0487259575867,65448.2,0,113
306,304.0487259575867,47570.0,1,115
307,304.1005588428665,44458.4,1,118
308,304.1487592440427,52838.799999999996,2,121
309,304.24879250862494,59885.799999999996,0,126
310,304.1487592440427,76128.59999999999,0,128
311,304.19694380545513,55276.100000000006,0,130
312,304.24879250862494,60547.2,0,132
313,304.1487592440427,71984.8,1,134
314,304.19694380545513,58611.600000000006,1,137
315,304.1487592440427,75354.0,0,140
316,304.19694380545513,48642.399999999994,0,142
317,304.0969099276792,68778.5,0,144
318,304.19694380545513,67702.5,0,146
319,304.2969776609724,41120.8,0,148
320,304.2969776609724,50828.799999999996,0,150
321,304.2969776609724,61561.799999999996,0,152
322,304.2969776609724,59908.3,0,154
323,304.39701149425287,43750.0,0,156
324,304.44518141520274,51439.4,0,158
325,304.44518141520274,75199.6,0,160
326,304.39701149425287,47927.4,0,162
327,304.39701149425287,62749.8,0,164
328,304.44518141520274,77327.09999999999,0,166
329,304.54521582143445,56407.5,1,168
330,304.54521582143445,68400.0,0,171
331,304.54521582143445,55306.9,0,173
332,304.54521582143445,66116.4,0,175
333,304.54521582143445,52680.6,1,177
334,304.54521582143445,47067.6,0,180
335,304.54521582143445,58674.0,1,182
336,304.44518141520274,72186.0,0,185
337,304.39701149425287,72454.8,2,187
338,304.39701149425287,70363.7,0,192
339,304.34514698636883,92603.5,1,194
340,304.34514698636883,57665.6,2,197
341,304.44518141520274,65611.5,0,202
342,304.3933004926108,48615.200000000004,0,204
343,304.34514698636883,49507.200000000004,1,206
344,304.3933004926108,50555.2,2,209
345,304.44518141520274,51219.2,0,214
346,304.44518141520274,47462.8,2,216
347,304.54521582143445,44832.0,0,221
348,304.54521582143445,55153.2,1,223
349,304.59337052838856,67021.5,0,226
350,304.59337052838856,73759.8,0,228
351,304.4933355219961,51605.8,0,230
352,304.3414025291509,58068.0,2,0
353,304.2413668473797,46811.2,0,5
354,304.28948751642577,52542.0,1,7
355,304.28948751642577,56954.7,0,10
356,304.28948751642577,67064.0,1,12
357,304.2413668473797,52668.0,1,15
358,304.2375554460325,54805.200000000004,0,18
359,304.1894511994742,52280.1,0,20
360,304.14133114215286,47084.4,0,22
361,304.2413668473797,51968.7,0,24
362,304.3414025291509,46874.1,0,26
363,304.3414025291509,62016.5,0,28
364,304.3414025291509,64351.799999999996,0,30
365,304.3414025291509,68210.0,0,32
366,304.3414025291509,66642.5,0,34
367,304.3414025291509,53213.399999999994,1,36
368,304.2413668473797,69456.40000000001,1,39
369,304.19323036477164,64032.0,0,42
370,304.19323036477164,59675.5,1,44
371,304.14507806080525,59578.2,0,47
372,304.14507806080525,66767.7,0,49
373,304.2932654402103,54006.7,1,51
374,304.3414025291509,70621.2,0,54
375,304.3933004926108,47113.200000000004,2,56
376,304.2413668473797,61090.2,1,61
377,304.19323036477164,62500.4,0,64
378,304.2932654402103,78241.8,0,66
379,304.3414025291509,51834.600000000006,0,68
380,304.2932654402103,56146.0,0,70
381,304.2932654402103,77702.4,1,72
382,304.3933004926108,59287.5,1,75
383,304.4414381874897,46286.8,2,78
384,304.38952380952384,61461.5,1,83
385,304.38952380952384,58040.0,0,86
386,304.38952380952384,57856.50000000001,1,88
387,304.4414381874897,65751.4,1,91
388,304.4414381874897,80594.0,1,94
389,304.4414381874897,57150.399999999994,0,97
390,304.4414381874897,56688.8,1,99
391,304.3933004926108,47642.4,1,102
392,304.3933004926108,68228.7,0,105
393,304.3933004926108,65329.5,2,107
394,304.2932654402103,56375.99999999999,0,112
395,304.2932654402103,49472.2,0,114
396,304.3933004926108,56513.100000000006,1,116
397,304.34514698636883,50085.9,0,119
398,304.44518141520274,65219.0,1,121
399,304.4933355219961,64999.2,0,124
400,304.44518141520274,57868.3,1,126
401,304.44518141520274,57800.0,0,129
402,304.39701149425287,47580.3,0,131
403,304.39701149425287,67542.3,2,133
404,304.44518141520274,65612.4,0,138
405,304.44518141520274,77213.2,0,140
406,304.44518141520274,24085.600000000002,0,142
407,304.54521582143445,69620.40000000001,1,144
408,304.64525020508614,53080.2,0,147
409,304.64525020508614,67188.0,0,149
410,304.64525020508614,57644.4,0,151
411,304.54521582143445,58133.600000000006,0,153
412,304.54889217134416,59935.8,0,155
413,304.59707909419103,68595.2,0,157
414,304.49704530531847,66685.5,0,159
415,304.39701149425287,85648.2,2,161
416,304.44518141520274,57756.4,2,166
417,304.39701149425287,74578.4,1,171
418,304.49704530531847,65856.0,0,174
419,304.39701149425287,63133.0,1,176
420,304.39701149425287,59523.8,0,179
421,304.39701149425287,69216.0,0,181
422,304.3488257513549,52863.2,0,183
423,304.3488257513549,71002.8,0,185
424,304.39701149425287,62305.0,0,187
425,304.39701149425287,78150.8,1,189
426,304.39701149425287,45489.6,0,192
427,304.24879250862494,75278.0,1,194
428,304.1487592440427,56077.600000000006,1,197
429,304.1487592440427,66097.0,1,200
430,304.19694380545513,53361.0,0,203
431,304.19694380545513,37910.6,1,205
432,304.19694380545513,59328.5,0,208
433,304.24879250862494,62568.0,0,210
434,304.1487592440427,72168.2,0,212
435,304.24879250862494,52624.00000000001,1,214
436,304.1487592440427,50530.200000000004,0,217
437,304.1487592440427,54315.0,0,0
438,304.1487592440427,51402.6,0,2
439,304.1005588428665,68421.59999999999,0,4
440,304.0487259575867,73224.0,0,6
441,304.1005588428665,56121.200000000004,1,8
442,304.1487592440427,56178.2,0,11
443,304.24879250862494,52841.600000000006,0,13
444,304.3488257513549,63772.799999999996,1,15
445,304.3488257513549,67935.4,0,18
446,304.3006241787122,58125.6,1,20
447,304.2005915215248,61503.6,0,23
448,304.2005915215248,59972.0,0,25
449,304.2005915215248,68299.2,1,27
450,304.24879250862494,64244.6,2,30
451,304.2005915215248,66742.0,2,35
452,304.24879250862494,57946.200000000004,0,45
453,304.2005915215248,56758.0,1,47
454,304.24879250862494,48225.7,1,50
455,304.24879250862494,60139.99999999999,0,53
456,304.2969776609724,57211.0,1,55
457,304.39701149425287,61196.4,0,58
458,304.49704530531847,55978.299999999996,0,60
459,304.44885897225413,47245.6,0,62
460,304.49704530531847,58282.399999999994,1,64
461,304.54521582143445,55843.200000000004,1,67
462,304.54521582143445,51367.0,1,70
463,304.59337052838856,51651.6,2,73
464,304.54521582143445,57735.299999999996,1,78
465,304.5414738224191,46507.399999999994,0,81
466,304.54521582143445,54489.6,0,83
467,304.64525020508614,59305.0,0,85
468,304.64525020508614,66973.2,0,87
469,304.59337052838856,73246.0,0,89
470,304.54521582143445,64543.0,0,91
471,304.54521582143445,62540.0,0,93
472,304.4933355219961,73656.0,0,95
473,304.54521582143445,53139.200000000004,0,97
474,304.54521582143445,68688.59999999999,0,99
475,304.44518141520274,67244.1,0,101
476,304.44518141520274,47085.600000000006,0,103
477,304.34514698636883,63476.5,0,105
478,304.2969776609724,65375.6,0,107
479,304.1487592440427,63231.399999999994,0,109
480,304.1487592440427,68932.5,0,111
481,304.0969099276792,46628.799999999996,0,113
482,304.0969099276792,63713.1,1,115
483,304.0969099276792,62275.200000000004,0,118
484,303.9968760276225,61216.200000000004,0,120
485,303.94869264923534,76165.6,0,122
486,303.94869264923534,63991.0,1,124
487,303.9004934210526,64303.5,1,127
488,303.9004934210526,84555.4,1,130
489,303.84865931896695,53772.6,1,133
490,303.84865931896695,47883.6,0,136
491,303.7486259667599,55892.0,0,138
492,303.7486259667599,56134.399999999994,0,140
493,303.6485925925926,59348.99999999999,0,142
494,303.6485925925926,38447.2,1,144
495,303.6003951267698,80186.40000000001,1,147
496,303.5003623188406,76020.0,1,150
497,303.35211731751525,56176.8,0,153
498,303.4003294892916,61230.4,1,155
499,303.4521495634986,38136.8,1,158
500,303.6003951267698,52730.4,1,161
501,303.55218178824305,69306.5,0,164
502,303.55218178824305,56918.399999999994,0,166
503,303.50395256916994,45831.8,1,168
504,303.50395256916994,58735.799999999996,0,171
505,303.40392092257,62508.600000000006,1,173
506,303.2556452942146,86521.5,1,176
507,303.3038892551088,67170.4,0,179
508,303.2556452942146,66784.5,1,181
509,303.1073548812665,61681.8,2,184
510,303.2556452942146,87999.20000000001,0,189
511,303.2556452942146,55874.7,0,191
512,303.3038892551088,48688.0,0,193
513,303.35567638820237,35957.8,1,195
514,303.2556452942146,36557.399999999994,1,198
515,303.2556452942146,69215.2,1,201
516,303.2556452942146,70468.40000000001,0,204
517,303.2556452942146,46400.2,0,206
518,303.2556452942146,70782.0,0,208
519,303.2556452942146,59674.200000000004,0,210
520,303.3038892551088,54257.00000000001,0,212
521,303.20738542697,76643.2,1,214
522,303.20738542697,56211.1,1,217
523,303.3074159525379,60178.299999999996,1,0
524,303.3074159525379,49752.6,0,3
525,303.2556452942146,54558.899999999994,2,5
526,303.3074159525379,51587.2,0,10
527,303.35567638820237,61212.8,1,12
528,303.4557074617032,57297.0,1,15
529,303.4557074617032,69012.0,0,18
530,303.4557074617032,54630.399999999994,1,20
531,303.50395256916994,76364.7,2,23
532,303.4557074617032,58212.0,1,28
533,303.60398419492924,59027.200000000004,0,31
534,303.4557074617032,54365.49999999999,1,33
535,303.50395256916994,58887.4,2,36
536,303.55573851473736,56051.1,0,41
537,303.50395256916994,57315.799999999996,0,43
538,303.50395256916994,33796.200000000004,0,45
539,303.4521495634986,49321.200000000004,0,47
540,303.5003623188406,63412.5,2,49
541,303.4521495634986,53006.0,0,54
542,303.4521495634986,56052.0,0,56
543,303.4521495634986,60628.5,0,58
544,303.4521495634986,59533.2,2,60
545,303.40392092257,55546.4,1,65
546,303.35211731751525,68824.59999999999,1,68
547,303.3038892551088,51128.700000000004,0,71
548,303.3038892551088,57074.100000000006,0,73
549,303.4557074617032,72134.4,1,75
550,303.6557695473251,58093.200000000004,1,78
551,303.6557695473251,53220.8,0,81
552,303.7558005594866,67233.59999999999,1,83
553,303.6557695473251,59932.49999999999,1,86
554,303.60750740862693,34790.4,0,89
555,303.5074769433465,75431.3,0,91
556,303.55922937592624,56817.2,0,93
557,303.60750740862693,77679.8,0,95
558,303.60750740862693,59907.2,1,97
559,303.55922937592624,67324.4,0,100
560,303.5074769433465,74814.0,0,102
561,303.459199472904,70282.90000000001,1,104
562,303.55922937592624,50327.0,0,107
563,303.55922937592624,53071.2,0,109
564,303.51093544137024,58465.8,0,111
565,303.61096476786304,49511.8,0,113
566,303.5626543718097,78721.2,0,115
567,303.46262559710095,50212.799999999996,1,117
568,303.41429983525535,62622.0,0,120
569,303.36595814796505,65845.8,2,122
570,303.2659304433822,48501.0,0,127
571,303.16590272052764,64206.0,1,129
572,303.16590272052764,60944.399999999994,0,132
573,303.21424332344213,60249.0,1,134
574,303.21424332344213,74674.4,0,137
575,303.16590272052764,37228.8,0,139
576,303.16590272052764,71502.0,0,141
577,303.01418673705047,39710.0,1,143
578,303.01418673705047,61423.9,0,146
579,302.9658472199307,62854.399999999994,1,148
580,303.0658749793832,59775.299999999996,0,151
581,303.11754617414243,66269.7,0,153
582,303.0658749793832,58386.2,1,155
583,303.21424332344213,63162.0,0,158
584,303.2659304433822,56994.399999999994,0,160
585,303.16590272052764,73308.0,0,162
586,303.11754617414243,62158.4,0,164
587,303.11754617414243,74047.8,0,166
588,303.16590272052764,37026.0,0,168
589,303.2659304433822,62133.00000000001,0,170
590,303.2659304433822,64405.6,0,172
591,303.2659304433822,58941.0,0,174
592,303.2175733597099,63247.2,0,176
593,303.2659304433822,68590.0,1,178
594,303.16590272052764,51480.0,1,181
595,303.11421503957786,64260.0,2,184
596,303.21424332344213,79910.0,0,189
597,303.16590272052764,54578.7,1,191
598,303.16590272052764,68180.0,0,194
599,303.2659304433822,65681.2,1,196
600,303.16590272052764,62698.399999999994,1,199
601,303.16590272052764,54016.0,0,202
602,303.11421503957786,60299.5,1,204
603,303.21424332344213,56436.9,0,207
604,303.21424332344213,66937.0,0,209
605,303.16253915910966,60814.4,0,211
606,303.06251030842816,53576.8,0,213
607,303.01418673705047,70297.6,1,215
608,303.01418673705047,72208.5,0,218
609,302.9658472199307,45611.1,0,0
610,302.9141584158416,62464.799999999996,0,2
611,302.86581944215214,55086.700000000004,0,4
612,302.86581944215214,68838.0,0,6
613,302.71743725231175,67429.1,1,8
614,302.71743725231175,61005.4,0,11
615,302.7657916460294,53600.0,2,13
616,302.71743725231175,52066.200000000004,1,18
617,302.71743725231175,57789.6,0,21
618,302.71743725231175,59330.0,0,23
619,302.6690668868704,59748.50000000001,0,25
620,302.71743725231175,68199.59999999999,0,27
621,302.6690668868704,52934.0,0,29
622,302.6174099768748,55176.899999999994,0,31
623,302.71743725231175,59616.7,0,33
624,302.7657916460294,47119.8,1,35
625,302.8174645097391,61291.99999999999,1,38
626,302.86581944215214,81518.4,0,41
627,302.7657916460294,46491.6,1,43
628,302.7657916460294,70324.2,0,46
629,302.71743725231175,51023.4,2,48
630,302.71743725231175,53610.899999999994,0,53
631,302.76909361069835,76517.0,0,55
632,302.72070673712017,55014.0,0,57
633,302.72070673712017,65200.4,0,59
634,302.5690401453825,40383.6,0,61
635,302.5690401453825,58905.399999999994,2,63
636,302.5690401453825,43990.899999999994,0,68
637,302.71743725231175,75849.0,1,70
638,302.76909361069835,64018.5,0,73
639,302.76909361069835,77267.9,1,75
640,302.76909361069835,56212.5,0,78
641,302.76909361069835,55428.200000000004,0,80
642,302.8174645097391,72678.4,1,82
643,302.8174645097391,62834.0,0,85
644,302.9174917491749,56173.600000000006,0,87
645,302.8174645097391,62173.6,0,89
646,302.8174645097391,66715.2,0,91
647,302.8174645097391,82251.0,2,93
648,302.71743725231175,78139.5,0,98
649,302.76909361069835,56136.49999999999,0,100
650,302.76909361069835,56443.5,0,102
651,302.76909361069835,62865.0,0,104
652,302.76909361069835,63075.0,1,106
653,302.8207329151535,57038.799999999996,0,109
654,302.9174917491749,57535.0,1,111
655,302.8207329151535,56215.2,2,114
656,302.8207329151535,54778.100000000006,0,119
657,302.8207329151535,54012.6,0,121
658,302.76909361069835,59213.0,0,123
659,302.72070673712017,65355.6,1,125
660,302.71743725231175,50892.899999999994,0,128
661,302.76909361069835,68924.6,0,130
662,302.869120316884,56019.6,2,132
663,302.869120316884,72267.0,1,137
664,302.8207329151535,73103.8,0,140
665,302.76909361069835,55590.0,2,142
666,302.8207329151535,79417.8,0,147
667,303.06917367639784,85911.7,0,149
668,303.02078521939956,56614.299999999996,1,151
669,303.06917367639784,65110.0,0,154
670,302.96914700544465,67051.2,1,156
671,302.96914700544465,55420.99999999999,2,159
672,302.96914700544465,52607.0,0,164
673,303.02078521939956,66105.90000000001,0,166
674,303.02078521939956,66599.2,1,168
675,302.97238079524834,66521.0,2,171
676,302.9207590759076,50307.4,1,176
677,303.02078521939956,58330.0,0,179
678,302.97238079524834,59192.700000000004,2,181
679,302.97238079524834,55836.0,0,186
680,302.97238079524834,48116.799999999996,0,188
681,302.97238079524834,52889.100000000006,0,190
682,302.97238079524834,48481.6,0,192
683,302.9239603960396,47520.8,0,194
684,302.9207590759076,57781.2,0,196
685,302.8723551741212,71313.59999999999,0,198
686,302.8723551741212,60480.8,1,200
687,302.8723551741212,58211.99999999999,0,203
688,302.772329536074,61767.299999999996,0,205
689,302.67230388109,60974.0,2,207
690,302.6238850346878,50727.6,1,212
691,302.67547481420314,53923.2,0,215
692,302.67547481420314,49996.799999999996,0,217
693,302.5754501899884,55706.0,1,219
694,302.475425549496,46904.0,1,222
695,302.5754501899884,74078.4,1,0
696,302.475425549496,63991.0,0,3
697,302.52699933906143,47971.200000000004,0,5
698,302.52699933906143,47728.1,2,7
699,302.52699933906143,55123.4,0,12
700,302.5754501899884,57013.0,0,14
701,302.6238850346878,58849.700000000004,0,16
702,302.5754501899884,61561.5,1,18
703,302.6238850346878,61356.6,0,21
